id,date,price,adjusted_price,zip
1,Sep 2024,$227.7K,227700,24060
1,Aug 2024,$229.4K,229400,24060
1,Jul 2024,$220.6K,220600,24060
1,Jun 2024,$219.7K,219700,24060
1,May 2024,$218.9K,218900,24060
1,Apr 2024,$215.7K,215700,24060
1,Mar 2024,$214.9K,214900,24060
1,Feb 2024,$214.1K,214100,24060
1,Jan 2024,$216.6K,216600,24060
1,Dec 2023,$216K,216000,24060
1,Nov 2023,$214.7K,214700,24060
1,Oct 2023,$215.5K,215500,24060
1,Sep 2023,$215K,215000,24060
1,Aug 2023,$213.3K,213300,24060
1,Jul 2023,$209.1K,209100,24060
1,Jun 2023,$208.4K,208400,24060
1,May 2023,$220K,220000,24060
1,Apr 2023,$220K,220000,24060
1,Mar 2023,$220K,220000,24060
1,Feb 2023,$220K,220000,24060
1,Jan 2023,$220K,220000,24060
1,Dec 2022,$269K,269000,24060
1,Nov 2022,$205.6K,205600,24060
1,Oct 2022,$207.8K,207800,24060
1,Sep 2022,$208K,208000,24060
1,Aug 2022,$205.6K,205600,24060
1,Jul 2022,$207.9K,207900,24060
1,Jun 2022,$208.2K,208200,24060
1,May 2022,$207.8K,207800,24060
1,Apr 2022,$206.4K,206400,24060
1,Mar 2022,$203.9K,203900,24060
1,Feb 2022,$199.3K,199300,24060
1,Jan 2022,$195K,195000,24060
1,Dec 2021,$193.3K,193300,24060
1,Nov 2021,$191.4K,191400,24060
1,Oct 2021,$191.2K,191200,24060
1,Sep 2021,$189.5K,189500,24060
1,Aug 2021,$189.7K,189700,24060
1,Jul 2021,$190.3K,190300,24060
1,Jun 2021,$175.7K,175700,24060
1,May 2021,$149K,149000,24060
1,Apr 2021,$146.9K,146900,24060
1,Mar 2021,$146.5K,146500,24060
1,Feb 2021,$145.8K,145800,24060
1,Jan 2021,$144.2K,144200,24060
1,Dec 2020,$143.5K,143500,24060
1,Nov 2020,$143K,143000,24060
1,Oct 2020,$141K,141000,24060
1,Sep 2020,$140.5K,140500,24060
1,Aug 2020,$140K,140000,24060
1,Jul 2020,$140K,140000,24060
1,Jun 2020,$139.4K,139400,24060
1,May 2020,$138.7K,138700,24060
1,Apr 2020,$137.6K,137600,24060
1,Mar 2020,$137.3K,137300,24060
1,Feb 2020,$136.7K,136700,24060
1,Jan 2020,$137K,137000,24060
1,Dec 2019,$136.5K,136500,24060
1,Nov 2019,$136.1K,136100,24060
1,Oct 2019,$137K,137000,24060
1,Sep 2019,$136.3K,136300,24060
1,Aug 2019,$135.7K,135700,24060
1,Jul 2019,$135K,135000,24060
1,Jun 2019,$134.2K,134200,24060
1,May 2019,$138.5K,138500,24060
1,Apr 2019,$131.7K,131700,24060
1,Mar 2019,$131K,131000,24060
1,Feb 2019,$129.6K,129600,24060
1,Jan 2019,$128.2K,128199,24060
1,Dec 2018,$127.9K,127900,24060
1,Nov 2018,$126.4K,126400,24060
1,Oct 2018,$126.8K,126800,24060
1,Sep 2018,$126.8K,126800,24060
1,Aug 2018,$126K,126000,24060
1,Jul 2018,$126.4K,126400,24060
1,Jun 2018,$126.7K,126700,24060
1,May 2018,$126.5K,126500,24060
1,Apr 2018,$125.2K,125200,24060
1,Mar 2018,$125.5K,125500,24060
1,Feb 2018,$125K,125000,24060
1,Jan 2018,$125K,125000,24060
1,Dec 2017,$123.6K,123600,24060
1,Nov 2017,$124.1K,124100,24060
1,Oct 2017,$122.9K,122900,24060
1,Sep 2017,$123.5K,123500,24060
1,Aug 2017,$123.1K,123100,24060
1,Jul 2017,$123K,123000,24060
1,Jun 2017,$123.1K,123100,24060
1,May 2017,$121.8K,121800,24060
1,Apr 2017,$121.3K,121300,24060
1,Mar 2017,$120.5K,120500,24060
1,Feb 2017,$119.3K,119300,24060
1,Jan 2017,$119.1K,119100,24060
1,Dec 2016,$118.7K,118700,24060
1,Nov 2016,$119.1K,119100,24060
1,Oct 2016,$118.3K,118300,24060
1,Sep 2016,$117.7K,117700,24060
1,Aug 2016,$117.2K,117200,24060
1,Jul 2016,$117.4K,117400,24060
1,Jun 2016,$118K,118000,24060
2,Sep 2024,$370.6K,370600,24060
2,Aug 2024,$409.3K,409300,24060
2,Jul 2024,$415K,415000,24060
2,Jun 2024,$422.7K,422700,24060
2,May 2024,$422.3K,422300,24060
2,Apr 2024,$418.3K,418300,24060
2,Mar 2024,$416.6K,416600,24060
2,Feb 2024,$401.2K,401200,24060
2,Jan 2024,$387.1K,387100,24060
2,Dec 2023,$383.1K,383100,24060
2,Nov 2023,$391.2K,391200,24060
2,Oct 2023,$398.2K,398200,24060
2,Sep 2023,$402.7K,402700,24060
2,Aug 2023,$404K,404000,24060
2,Jul 2023,$407.7K,407700,24060
2,Jun 2023,$417.4K,417400,24060
2,May 2023,$397.9K,397900,24060
2,Apr 2023,$386.2K,386200,24060
2,Mar 2023,$379.7K,379700,24060
2,Feb 2023,$360.6K,360600,24060
2,Jan 2023,$354.6K,354600,24060
2,Dec 2022,$359.1K,359100,24060
2,Nov 2022,$366.5K,366500,24060
2,Oct 2022,$373.2K,373200,24060
2,Sep 2022,$375.4K,375400,24060
2,Aug 2022,$378.3K,378300,24060
2,Jul 2022,$382.5K,382500,24060
2,Jun 2022,$391.3K,391300,24060
2,May 2022,$386.3K,386300,24060
2,Apr 2022,$380.6K,380600,24060
2,Mar 2022,$375.9K,375900,24060
2,Feb 2022,$369.6K,369600,24060
2,Jan 2022,$364.4K,364400,24060
2,Dec 2021,$359.7K,359700,24060
2,Nov 2021,$357.2K,357200,24060
2,Oct 2021,$361.3K,361300,24060
2,Sep 2021,$364.9K,364900,24060
2,Aug 2021,$370.6K,370600,24060
2,Jul 2021,$377.3K,377300,24060
2,Jun 2021,$355.9K,355900,24060
2,May 2021,$316K,316000,24060
2,Apr 2021,$312.5K,312500,24060
2,Mar 2021,$297K,297000,24060
2,Feb 2021,$308K,308000,24060
2,Jan 2021,$310.7K,310700,24060
2,Dec 2020,$303.6K,303600,24060
2,Nov 2020,$305.3K,305300,24060
2,Oct 2020,$295.2K,295200,24060
2,Sep 2020,$299.9K,299900,24060
2,Aug 2020,$300.1K,300100,24060
2,Jul 2020,$300.7K,300700,24060
2,Jun 2020,$297.8K,297800,24060
2,May 2020,$298.9K,298900,24060
2,Apr 2020,$295.9K,295900,24060
2,Mar 2020,$289.7K,289700,24060
2,Feb 2020,$289.3K,289300,24060
2,Jan 2020,$282.8K,282800,24060
2,Dec 2019,$283.2K,283200,24060
2,Nov 2019,$295.8K,295800,24060
2,Oct 2019,$295.6K,295600,24060
2,Sep 2019,$291.1K,291100,24060
2,Aug 2019,$289.1K,289100,24060
2,Jul 2019,$285.6K,285600,24060
2,Jun 2019,$279.7K,279700,24060
2,May 2019,$280.4K,280400,24060
2,Apr 2019,$286.6K,286600,24060
2,Mar 2019,$281.9K,281900,24060
2,Feb 2019,$283.4K,283400,24060
2,Jan 2019,$282.1K,282100,24060
2,Dec 2018,$278.5K,278500,24060
2,Nov 2018,$273.6K,273600,24060
2,Oct 2018,$273.2K,273200,24060
2,Sep 2018,$272.7K,272700,24060
2,Aug 2018,$274.9K,274900,24060
2,Jul 2018,$274.6K,274600,24060
2,Jun 2018,$273.4K,273400,24060
2,May 2018,$269.8K,269800,24060
2,Apr 2018,$265K,265000,24060
2,Mar 2018,$268.2K,268200,24060
2,Feb 2018,$265.8K,265800,24060
2,Jan 2018,$262.4K,262400,24060
2,Dec 2017,$267.1K,267100,24060
2,Nov 2017,$264K,264000,24060
2,Oct 2017,$262.4K,262400,24060
2,Sep 2017,$258.9K,258899,24060
2,Aug 2017,$260.4K,260399,24060
2,Jul 2017,$259K,259000,24060
2,Jun 2017,$256.8K,256800,24060
2,May 2017,$260.2K,260200,24060
2,Apr 2017,$257.3K,257300,24060
2,Mar 2017,$255.4K,255400,24060
2,Feb 2017,$256.7K,256700,24060
2,Jan 2017,$252.2K,252200,24060
2,Dec 2016,$254K,254000,24060
2,Nov 2016,$253.5K,253500,24060
2,Oct 2016,$252.2K,252200,24060
2,Sep 2016,$249.4K,249400,24060
2,Aug 2016,$251.7K,251700,24060
2,Jul 2016,$248.5K,248500,24060
2,Jun 2016,$246.2K,246200,24060
2,May 2016,$245.3K,245300,24060
2,Apr 2016,$243.5K,243500,24060
2,Mar 2016,$243K,243000,24060
2,Feb 2016,$242.8K,242800,24060
2,Jan 2016,$241.8K,241800,24060
2,Dec 2015,$241.3K,241300,24060
2,Nov 2015,$239.8K,239800,24060
2,Oct 2015,$239.8K,239800,24060
2,Sep 2015,$238.8K,238800,24060
2,Aug 2015,$238.1K,238100,24060
2,Jul 2015,$235.8K,235800,24060
2,Jun 2015,$235.2K,235200,24060
2,May 2015,$234.4K,234400,24060
2,Apr 2015,$235K,235000,24060
2,Mar 2015,$243.5K,243500,24060
2,Feb 2015,$245.2K,245200,24060
2,Jan 2015,$244.6K,244600,24060
2,Dec 2014,$239.1K,239100,24060
2,Nov 2014,$240.3K,240300,24060
2,Oct 2014,$236.1K,236100,24060
2,Sep 2014,$236.4K,236400,24060
3,Sep 2024,$447.8K,447800,24060
3,Aug 2024,$448.6K,448600,24060
3,Jul 2024,$444.9K,444900,24060
3,Jun 2024,$451.4K,451400,24060
3,May 2024,$449.3K,449300,24060
3,Apr 2024,$444.9K,444900,24060
3,Mar 2024,$441.6K,441600,24060
3,Feb 2024,$438.1K,438100,24060
3,Jan 2024,$429.3K,429300,24060
3,Dec 2023,$428.3K,428300,24060
3,Nov 2023,$425.9K,425900,24060
3,Oct 2023,$429.2K,429200,24060
3,Sep 2023,$432.1K,432100,24060
3,Aug 2023,$430.2K,430200,24060
3,Jul 2023,$437K,437000,24060
3,Jun 2023,$439.7K,439700,24060
3,May 2023,$431.9K,431900,24060
3,Apr 2023,$425.4K,425400,24060
3,Mar 2023,$420.2K,420200,24060
3,Feb 2023,$408.4K,408400,24060
3,Jan 2023,$403.4K,403400,24060
3,Dec 2022,$406.4K,406400,24060
3,Nov 2022,$410.1K,410100,24060
3,Oct 2022,$414.3K,414300,24060
3,Sep 2022,$414.9K,414900,24060
3,Aug 2022,$412.8K,412800,24060
3,Jul 2022,$417.2K,417200,24060
3,Jun 2022,$419.8K,419800,24060
3,May 2022,$422.8K,422800,24060
3,Apr 2022,$419.6K,419600,24060
3,Mar 2022,$411.8K,411800,24060
3,Feb 2022,$400.3K,400300,24060
3,Jan 2022,$393.7K,393700,24060
3,Dec 2021,$389.1K,389100,24060
3,Nov 2021,$384.9K,384900,24060
3,Oct 2021,$383.7K,383700,24060
